playlist_idx,hybrid_recommendations
201,"[183235, 150245, 90867, 182940, 178066, 121372, 219346, 212781, 194684, 128463, 116456, 181169, 193736, 81071, 52260, 116130, 209804, 153713, 221020, 169880, 153229, 26999, 131855, 78666, 145123, 195264, 73704, 55051, 208565, 73525, 140583, 21385, 92376, 136073, 220179, 251806, 211056, 143193, 129764, 166805, 59304, 114247, 156338, 184315, 23243, 194834, 24453, 77127, 65001, 24125]"
229,"[237495, 216374, 86790, 250306, 203557, 143123, 221079, 70529, 64550, 72522, 140314, 16769, 54047, 53497, 241787, 35237, 237415, 103098, 191177, 158927, 131429, 184725, 30051, 251689, 219734, 27071, 65433, 8445, 84826, 68844, 216252, 130094, 104413, 215457, 153789, 193787, 166690, 143095, 60803, 191316, 87793, 56352, 216240, 121753, 77655, 122751, 151584, 58505, 210354, 63084]"
230,"[50047, 166690, 5894, 65433, 129996, 203253, 99481, 82682, 153789, 68163, 251689, 234425, 241787, 27071, 19825, 143095, 184725, 68844, 104413, 234471, 139096, 195884, 87793, 204678, 63084, 74662, 191316, 209437, 60803, 156348, 121753, 190899, 182651, 184979, 29920, 46586, 45282, 249109, 229720, 124237, 187276, 90768, 2803, 236977, 44387, 131216, 205833, 54653, 52772, 54119]"
237,"[73995, 38245, 231254, 176401, 132684, 77657, 97330, 7580, 66741, 27560, 135397, 76387, 130032, 905, 87043, 135948, 206400, 221506, 193941, 177055, 171412, 168507, 214455, 246233, 23543, 186858, 251617, 87806, 10137, 178920, 168149, 79611, 117402, 46380, 106318, 73950, 147317, 190925, 148390, 3884, 238860, 219789, 192049, 131439, 241834, 147641, 158749, 129898, 8706, 246081]"
240,"[217729, 208730, 87405, 71481, 203882, 197789, 6447, 68595, 227170, 115640, 179215, 62292, 192501, 242093, 59031, 12818, 71825, 200455, 74841, 123447, 17359, 57687, 78618, 182505, 219789, 82073, 20655, 168039, 87806, 154321, 242791, 193353, 89370, 151293, 123422, 198976, 183688, 152111, 4128, 219167, 46502, 208382, 112935, 249333, 43248, 212781, 7184, 27535, 91335, 86202]"
241,"[64550, 237495, 86135, 116049, 216374, 58505, 54047, 216252, 219734, 70529, 218755, 49453, 203557, 131429, 230184, 210354, 190816, 14975, 82682, 151584, 77655, 19825, 65433, 65143, 62757, 54653, 122751, 7627, 72522, 60803, 153789, 149917, 44331, 126204, 241787, 143095, 156348, 87793, 68844, 30051, 107507, 149530, 191177, 8445, 102443, 164641, 203253, 204678, 251689, 99481]"
248,"[191313, 79687, 57996, 113368, 1287, 216260, 174692, 162412, 247450, 34319, 172218, 207476, 244627, 146012, 143755, 168972, 140469, 47657, 163571, 149636, 24004, 196631, 51805, 219637, 177435, 102026, 195238, 19378, 186289, 5889, 32244, 219221, 22005, 209609, 144813, 191177, 161772, 225940, 153712, 165398, 207539, 16775, 61156, 56156, 89133, 109660, 33445, 15671, 85843, 127173]"
256,"[93035, 85382, 155865, 189048, 145134, 246412, 221649, 113539, 222280, 126838, 24871, 90986, 33637, 180162, 34474, 238418, 11845, 78141, 206882, 101453, 236876, 184592, 171756, 57666, 103348, 65195, 102641, 186942, 117801, 160881, 146691, 205620, 185058, 10409, 2428, 117991, 244738, 146622, 100618, 227253, 170027, 196044, 232521, 81682, 148389, 204231, 187394, 113794, 172559, 161602]"
264,"[173813, 39413, 138775, 75113, 99497, 42020, 111268, 245523, 211269, 136951, 145796, 217782, 160594, 53793, 28805, 59701, 161566, 8047, 172523, 38957, 175352, 140087, 96437, 165497, 129970, 245373, 3717, 16971, 178396, 115237, 13152, 78873, 104922, 47086, 91649, 66986, 142832, 81826, 147957, 98398, 140650, 23892, 66630, 212070, 100313, 167697, 174430, 163533, 128050, 38070]"
275,"[208248, 219637, 174692, 24004, 22429, 57996, 48557, 172218, 242528, 73807, 186289, 20809, 94251, 242974, 181349, 151180, 229720, 212881, 164042, 63039, 29246, 122853, 150019, 79687, 68844, 61398, 56073, 67273, 160645, 206765, 130606, 251849, 50040, 60993, 115704, 187591, 233897, 163048, 72679, 102026, 83674, 92846, 1287, 89301, 62935, 143755, 25732, 35237, 218307, 229093]"
278,"[196254, 105160, 242528, 96567, 25990, 65642, 119529, 69756, 113608, 181596, 239898, 142306, 232098, 132367, 135283, 91084, 8871, 93035, 75888, 150349, 67830, 37469, 248686, 80671, 14675, 115595, 138637, 127102, 131888, 191207, 221819, 92207, 250389, 189418, 75373, 147346, 56656, 89306, 96837, 9215, 176184, 36080, 119339, 232496, 106247, 20562, 70719, 116811, 194940, 126210]"
282,"[249785, 34052, 208248, 251973, 12771, 9655, 168467, 13855, 237495, 167186, 249395, 208658, 42632, 125467, 148576, 58073, 82142, 235367, 110859, 224606, 118409, 20286, 151316, 114393, 165917, 119775, 92846, 2180, 92366, 203557, 110461, 237650, 18832, 232729, 18843, 226723, 77745, 211346, 206931, 80649, 178902, 20673, 18997, 202042, 6666, 226215, 33882, 93098, 149917, 129869]"
302,"[58141, 246233, 208248, 122853, 66741, 83411, 38245, 8706, 76812, 117652, 181839, 218307, 30287, 82207, 181349, 130032, 76387, 189533, 157887, 129898, 87043, 125282, 176401, 120481, 7580, 133974, 27560, 97330, 175799, 53989, 250228, 20607, 144388, 129035, 73995, 168149, 231254, 212881, 150151, 105644, 73807, 208864, 56322, 48713, 135397, 213049, 232710, 172211, 115710, 132684]"
308,"[104413, 180201, 116049, 250306, 63352, 181596, 24902, 26659, 249109, 102026, 245858, 118317, 152463, 217965, 110859, 193787, 242528, 235367, 67273, 68844, 231840, 17649, 6765, 203253, 110461, 16769, 29052, 234647, 93035, 208658, 10765, 201211, 221079, 72522, 60993, 216374, 167186, 209437, 203557, 118409, 48557, 153789, 64550, 86790, 24004, 231436, 223774, 57996, 54047, 247450]"
314,"[249785, 12771, 58073, 33882, 18997, 102584, 217965, 104413, 34052, 114167, 167186, 82142, 57996, 151208, 9655, 71113, 242974, 92846, 234647, 99858, 238995, 62228, 249395, 209750, 132243, 56156, 48557, 50195, 6765, 181349, 165917, 127524, 203517, 11830, 73309, 245858, 118317, 72437, 110461, 183784, 248145, 237650, 203509, 194789, 192423, 122336, 160231, 239354, 234534, 35312]"
342,"[16846, 64332, 100077, 196162, 71335, 57440, 138775, 94989, 166527, 41438, 190702, 21853, 75113, 242980, 42020, 9842, 108564, 134930, 213659, 168205, 236425, 134233, 173367, 111268, 211269, 245523, 136951, 248077, 38070, 175352, 183783, 872, 129970, 161566, 145796, 28805, 7609, 96437, 227928, 205715, 250238, 160594, 60230, 92067, 64637, 63243, 217782, 59701, 172523, 8047]"
347,"[232729, 102026, 10765, 20673, 168606, 113368, 109660, 231840, 201211, 144813, 118317, 152463, 79687, 245418, 6666, 202106, 228264, 168972, 138667, 34319, 57996, 201377, 174692, 227395, 244627, 89133, 78987, 2180, 175382, 5889, 163571, 104413, 14281, 1287, 35237, 119774, 27274, 122336, 162412, 156346, 104659, 204569, 49497, 45959, 29052, 71825, 72522, 154321, 22005, 154108]"
350,"[119084, 235304, 203902, 172163, 49817, 91733, 64166, 62531, 193992, 218317, 233282, 57902, 2933, 213176, 209798, 44184, 154435, 43500, 191897, 230764, 11753, 212784, 135948, 174797, 61798, 136340, 92506, 212968, 31570, 149792, 150597, 56592, 30534, 208245, 126330, 241388, 32793, 39305, 168210, 232628, 27916, 186258, 65181, 194603, 144575, 183653, 222413, 101549, 33056, 181133]"
362,"[64550, 221079, 203557, 50047, 237415, 210354, 58505, 140314, 219734, 143123, 54047, 216252, 14975, 65433, 103098, 62064, 151584, 72522, 131429, 129996, 70529, 153789, 86135, 65143, 241787, 156348, 49453, 68163, 122751, 195884, 74662, 30051, 99481, 149917, 189386, 251689, 215457, 68844, 8445, 139096, 191177, 234425, 27071, 87793, 3065, 62757, 60803, 68922, 99868, 203253]"
367,"[58141, 73995, 66741, 176401, 130032, 192049, 76387, 129186, 135948, 246081, 206400, 129035, 168149, 10137, 177055, 135397, 155540, 7580, 46380, 129898, 221506, 238860, 23543, 186858, 173821, 54114, 135471, 27560, 148390, 48091, 905, 187794, 108071, 171412, 105644, 20205, 241834, 168341, 147317, 241625, 178920, 97130, 232845, 106318, 36852, 190925, 3884, 4645, 102468, 31007]"
368,"[104413, 247450, 225394, 32793, 102026, 202106, 241388, 30534, 5923, 10765, 191313, 134300, 154435, 6666, 251981, 231840, 83087, 118317, 73413, 85508, 168210, 20673, 149792, 13191, 152463, 62531, 212784, 145634, 201211, 57902, 208658, 168281, 29052, 64166, 77189, 106804, 64861, 196135, 89801, 247083, 221049, 226684, 144575, 2933, 97551, 167934, 50124, 232729, 48557, 73321]"
374,"[180201, 104413, 191177, 237495, 68844, 124237, 124094, 103098, 235367, 184725, 168606, 72522, 131355, 207513, 250306, 99481, 202106, 135193, 181640, 116049, 96114, 247450, 121753, 14975, 102026, 229720, 249109, 201211, 251689, 242528, 215457, 216374, 203253, 234425, 232729, 130724, 221079, 193787, 203557, 151293, 195884, 17731, 219734, 153789, 102192, 54047, 118618, 249785, 152463, 47611]"
376,"[237495, 237415, 53497, 50047, 58505, 203557, 218755, 14975, 86135, 230184, 5894, 65433, 151584, 166690, 103098, 68163, 190816, 129996, 241787, 131429, 203253, 77655, 234425, 27071, 191177, 139096, 130094, 193787, 153789, 122751, 8445, 16252, 156348, 68844, 130724, 234471, 49453, 87793, 232281, 99868, 143095, 149530, 19825, 251689, 184725, 149917, 60803, 104413, 204678, 6089]"
395,"[182995, 52260, 21934, 11771, 90867, 37999, 194684, 150245, 121372, 219346, 116456, 193736, 116130, 81071, 96610, 184315, 246081, 209804, 193366, 165802, 221020, 26999, 6543, 153713, 19814, 4645, 99267, 56322, 65001, 143193, 153229, 21385, 24453, 145123, 195264, 140583, 169880, 193738, 97130, 211056, 136073, 115065, 73704, 55051, 226215, 697, 139638, 238621, 125516, 124751]"
410,"[48444, 37717, 7627, 231797, 62912, 109058, 221826, 172067, 243272, 17658, 161969, 2617, 44776, 83989, 201093, 232742, 22365, 110958, 234733, 228697, 146597, 229056, 47610, 212066, 215934, 146719, 82246, 228347, 208078, 157945, 149948, 58065, 58492, 177295, 40680, 170584, 246477, 55173, 51032, 6543, 100341, 2003, 100332, 250538, 122897, 28793, 128821, 222252, 179770, 100737]"
413,"[86790, 237495, 64550, 143123, 250306, 237415, 218755, 230184, 16769, 235367, 53497, 90973, 84826, 54047, 216374, 16252, 166690, 149917, 203253, 153789, 65143, 116049, 68163, 14975, 131429, 210354, 156348, 74662, 62064, 5894, 102443, 106903, 184979, 214450, 87793, 103098, 7627, 86135, 171147, 70529, 190816, 40301, 6089, 219734, 216283, 65433, 234471, 158927, 237009, 68844]"
424,"[151180, 180819, 223594, 50621, 121339, 229086, 114878, 4159, 144877, 74527, 111329, 192376, 55835, 173448, 24350, 59531, 76408, 226611, 200918, 5972, 200983, 20607, 199488, 194611, 141457, 89595, 3008, 143914, 164716, 201410, 206543, 215333, 240745, 199057, 202632, 82465, 159117, 183268, 242896, 207940, 96894, 31511, 100960, 65508, 191723, 247341, 202506, 128215, 108534, 69895]"
430,"[235367, 216374, 64550, 53497, 140314, 190816, 72522, 58505, 50047, 209437, 30051, 68844, 184725, 35237, 40301, 104413, 65433, 7627, 191316, 180201, 251689, 234425, 70529, 216240, 218755, 45282, 250666, 27071, 124237, 5894, 131429, 166690, 131216, 86135, 130094, 234471, 122751, 155439, 19825, 36171, 204678, 90973, 75949, 205833, 82682, 245084, 208529, 68163, 143095, 241787]"
432,"[27407, 209437, 124094, 131355, 118618, 35237, 121753, 206765, 233897, 11830, 219965, 135193, 242528, 2125, 52357, 68450, 229720, 45282, 191177, 67273, 96114, 128223, 102192, 236961, 190008, 13597, 124237, 170299, 35332, 83674, 44387, 203253, 169595, 241312, 45495, 9092, 37844, 41723, 103098, 98873, 76162, 135627, 245084, 99481, 203427, 208452, 39687, 107705, 105231, 221860]"
433,"[212881, 85574, 50040, 115704, 232953, 208248, 178754, 220747, 61398, 35659, 181016, 35237, 232829, 122853, 109155, 119084, 188065, 187591, 123985, 102026, 12590, 174467, 219293, 229720, 243676, 202567, 31550, 178318, 182371, 249070, 16709, 80649, 211742, 52067, 187765, 100372, 188391, 75234, 206097, 214998, 92210, 56352, 29052, 141919, 151180, 128821, 99526, 67899, 9468, 53696]"
435,"[246233, 208248, 94251, 73807, 251617, 30287, 76812, 212881, 144388, 125282, 120481, 175799, 53989, 181349, 122597, 250228, 48713, 180201, 157887, 123705, 187591, 70641, 151180, 172211, 117652, 150019, 80634, 79059, 147304, 227353, 150151, 59031, 20607, 134143, 133974, 83460, 56322, 192501, 186690, 232710, 6666, 110859, 248058, 247450, 235751, 43211, 192480, 115710, 187948, 51549]"
439,"[237495, 195884, 235367, 216374, 203557, 30051, 14975, 116049, 40301, 140314, 250666, 210354, 207513, 155439, 237415, 209437, 140167, 53497, 203856, 204273, 64550, 86790, 221079, 251689, 250306, 24170, 36171, 35237, 143123, 194878, 54047, 191316, 104413, 115697, 219734, 29626, 216252, 131216, 249109, 37668, 103098, 12262, 149530, 190816, 215457, 77194, 130094, 96494, 56352, 124237]"
454,"[246233, 62935, 113137, 64204, 94251, 229551, 60610, 160935, 67123, 251617, 9975, 95510, 233889, 56322, 239262, 105644, 209374, 203253, 117402, 242974, 23414, 112277, 43730, 212881, 194875, 150917, 38904, 151202, 212781, 104413, 167974, 112478, 227576, 50524, 130032, 57572, 19518, 219991, 78940, 219637, 236819, 1571, 3003, 165123, 105705, 115580, 140356, 43835, 191426, 115704]"
455,"[232829, 61398, 35659, 172218, 251617, 202567, 85574, 56073, 219637, 178754, 130606, 131992, 243676, 220747, 250210, 113242, 123985, 34319, 181016, 109155, 249070, 14306, 77604, 232953, 188065, 56457, 219293, 164042, 113137, 174467, 94251, 64204, 31550, 180091, 213691, 14025, 224295, 227576, 228386, 62935, 191313, 9975, 229551, 88467, 216260, 122853, 160935, 6200, 55826, 162121]"
461,"[121753, 208248, 181349, 94251, 122853, 128223, 187591, 130724, 251849, 237293, 218307, 10765, 150151, 30287, 241312, 157887, 33882, 178318, 53989, 120481, 148728, 35237, 20607, 182371, 116522, 83674, 242528, 178741, 125282, 3253, 221104, 232710, 206765, 8706, 58505, 181839, 90560, 43867, 80649, 159407, 247450, 134143, 79054, 176362, 184785, 162121, 203914, 172211, 152395, 175799]"
483,"[75949, 237495, 203557, 251689, 90768, 32090, 16769, 128945, 72522, 195884, 131216, 149739, 179215, 235367, 116049, 216240, 209260, 159681, 244723, 191316, 14975, 140314, 216374, 227906, 146644, 2000, 219379, 190384, 180819, 65300, 186705, 134758, 241787, 125154, 234425, 153308, 165802, 29052, 90724, 129862, 32765, 140434, 243131, 156918, 30824, 205810, 85556, 90867, 144162, 250306]"
490,"[115704, 172218, 61398, 232829, 219637, 35659, 85574, 56073, 251617, 178754, 94251, 113242, 250210, 243676, 208248, 181016, 109155, 123985, 249070, 77604, 235251, 188065, 122853, 219293, 113137, 31550, 73807, 184018, 174467, 181349, 180091, 187591, 229551, 224295, 64204, 191313, 62935, 123705, 56457, 143755, 174692, 213691, 151180, 237978, 184785, 35486, 244627, 188310, 160935, 1287]"
506,"[221079, 250306, 203557, 116049, 53497, 103098, 16769, 180201, 207513, 143123, 45282, 58505, 50047, 191177, 237415, 72522, 14975, 84826, 242528, 65433, 68163, 219734, 7627, 216252, 184725, 131429, 149636, 166690, 229720, 218755, 104413, 40301, 86135, 249109, 140314, 131355, 245084, 70529, 63263, 99481, 215457, 129996, 210354, 193787, 135193, 110859, 27071, 230184, 190816, 8445]"
507,"[237495, 249785, 64550, 104413, 203253, 57572, 250306, 249109, 168606, 116049, 86790, 202106, 68844, 235367, 217965, 53497, 169595, 181596, 20673, 209437, 24902, 122336, 221079, 54047, 216374, 119775, 16769, 93035, 118317, 152463, 26659, 191177, 208658, 12771, 118409, 242528, 63352, 86424, 242974, 180201, 35237, 40301, 73829, 153789, 14975, 84826, 207513, 12634, 166690, 219734]"
508,"[126530, 224277, 154763, 227742, 52644, 12894, 220407, 179190, 236391, 9215, 37062, 116509, 177460, 11204, 91584, 248655, 237962, 241678, 184062, 171420, 233016, 134607, 246267, 38441, 207683, 53379, 67448, 189045, 117472, 131787, 74790, 219192, 207985, 200100, 31156, 221282, 221388, 124741, 127359, 201156, 39881, 174404, 43596, 29320, 224657, 37749, 153635, 181536, 144914, 125704]"
