track_uri,album_name,album_uri,artist_name,artist_uri,duration_ms,pos,track_name,inside_playlists,deezer_id,preview_url,audio_filepath
spotify:track:2Z8WuEywRWYTKe1NybPQEW,Blurryface,spotify:album:3cQO7jp5S9qLBoIVtbkSM1,Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,214506,14,Ride,[584466 339107  79669 ...  45173 158408 932484],99976954,"https://cdnt-preview.dzcdn.net/api/1/1/5/2/e/0/52e21c003066ce59e61cfc33e5256836.mp3?hdnea=exp=1740663174~acl=/api/1/1/5/2/e/0/52e21c003066ce59e61cfc33e5256836.mp3*~data=user_id=0,application_id=42~hmac=3d2006e55f90c8169f0880c58d8d4701fb857b6a20bf4b40313b1aaba96c7476",previews/Ride.mp3
spotify:track:1CnPYaKxTVb4LWOtiGOm0m,The Human Condition,spotify:album:2e8nzTZ0HtK94IifOWgN7o,Jon Bellion,spotify:artist:50JJSqHUf2RQ9xsHs0KMHg,217603,15,All Time Low,[584466 968716 148445 ... 715218 757216 158408],126368099,"https://cdnt-preview.dzcdn.net/api/1/1/5/7/7/0/577bd30478f766b8056b43835c01ca89.mp3?hdnea=exp=1740663176~acl=/api/1/1/5/7/7/0/577bd30478f766b8056b43835c01ca89.mp3*~data=user_id=0,application_id=42~hmac=2f5bfdfdd67d5c629155c70c127c8c2e4222f66d64456765d7f461dd1ac83817",previews/All Time Low.mp3
spotify:track:7ElF5zxOwYP4qVSWVvse3W,The Rokstarr Hits Collection,spotify:album:0eGvq1J5Ke7VlLLOYIlY4k,Taio Cruz,spotify:artist:6MF9fzBmfXghAz953czmBC,201546,16,Break Your Heart,[584466 371876 968716 ... 804895  45988 781856],7063921,"https://cdnt-preview.dzcdn.net/api/1/1/3/9/a/0/39a20df364bda81530beaa04e4e76aad.mp3?hdnea=exp=1740663177~acl=/api/1/1/3/9/a/0/39a20df364bda81530beaa04e4e76aad.mp3*~data=user_id=0,application_id=42~hmac=5c2300824b897c8565c2bd45c82020684476cf1b314279607d46f94c3560103b",previews/Break Your Heart.mp3
spotify:track:378iszndTZAR4dH8kwsLC6,This Is Acting,spotify:album:3Xz1Bcn4YP9bdqlsstMfuJ,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,224813,17,Cheap Thrills,[584466 377848  60386 ... 298483 159141 651362],118195184,"https://cdnt-preview.dzcdn.net/api/1/1/c/5/d/0/c5d797f05d5a161c2f9016c5e2f7472c.mp3?hdnea=exp=1740663178~acl=/api/1/1/c/5/d/0/c5d797f05d5a161c2f9016c5e2f7472c.mp3*~data=user_id=0,application_id=42~hmac=29c670073624a069916baf8f8cf59b3f1b9a70ee94764472408f44cb3075c7d8",previews/Cheap Thrills.mp3
spotify:track:7oQ09pJGn75oy9MIvkINWi,Ryan Follese,spotify:album:2XMnHhm9i5oLz59O7Pkuip,Ryan Follese,spotify:artist:6KdRXEnkaZ5m5a6XcvWGP7,204706,18,Put A Label On It,"[584466 785332 994629 138695 325968 829612 660122 299415 309361  54368
 536631  45309 937881 278305 802069 186801 222185 569989 572405 604394
 183107 543147 494461 658274 194728 108781 756954 430633 723996  44639
 446444 895220 472076 574905  13407 505254 909981  38107 745907   2550
 893122 179242  22686 753611 872383 523614 718760 744866 575946 544951
 896093 562317 135064 867930 114125 201165 915009 103594  35210 164853
 800338  54410 149627 667044 256568 797585 370736 138861 808366 141915
  33347  12704 325241 650788 650008  31423  86769 887625 130705 889400
 805445 401718 578057  55445 281363 100307 413603 789192 567702 393753
 386391 441836 451116 990845  83357 365331 476289 264363 838649 755376
 243806   9694 635285 576141 855587 909308 492321 538026 397939 691119
 831165 158520 261698 290328 297426 994072 402177 790446 736385 934119
 950357 591111 129367 843242 764482 988861 114606  87625  39669 764099
 593709 791461 147843 667452 735800 445103 554496 688412 648328 648286
 906254  21710 732387 174072 743623 838791 157550 862862 386156 794790
 945407 716462 196274  73575 222201 705638 474559  54569 911388 774451
 520216 789187 544193 643272 461465 414695 413764 531099 392361 438696
 937259 118950  77234 167831 837788 905975 164977 427618 664928 113044
 127899 525778 873896 382034 744254 375204 169722  25050  49033   9323
 929293 154986 875180 683910 289585 837070 884543 499977 736514 736540
  35993 432113 847053  62200  41402 396788 115053  59609 861169  58463
 586299 745736 105595 432235 654045 724366 648687  76671 181122  94411
 838795 190265 786771 432440 273298 193418 906065 118473 771073 298521
 926637 835712 278784 814739 681075  59590 246787 529448 200209 944475
 587819 762581 794375 516609 702874 702874 684851 785252 103730 554141
 702411 618725 796392 287078 571611 591520 193735 263703 152036 699407
 489174 432747  56521 426048 126948 675041 459973 809798 600481 345110
 952465 564461]",395889872,"https://cdnt-preview.dzcdn.net/api/1/1/6/9/3/0/693613dbe4fcf2ebfcab41fa9ef80a11.mp3?hdnea=exp=1740663180~acl=/api/1/1/6/9/3/0/693613dbe4fcf2ebfcab41fa9ef80a11.mp3*~data=user_id=0,application_id=42~hmac=66a1ee2a688118379c6e2dc675fe08a5f76ca3ba77acdee43c5eb8d04d2b3c17",previews/Put A Label On It.mp3
spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,Another Level,spotify:album:2zGZLQiFl9UubtrVmtIkbi,Blackstreet,spotify:artist:2P3cjUru4H3fhSXXNxE9kA,304600,19,No Diggity,[584466 968716 335134 ... 125823 811537  51384],1483899752,"https://cdnt-preview.dzcdn.net/api/1/1/5/4/2/0/542413320e113230d9e205d17bb8bcc1.mp3?hdnea=exp=1740663181~acl=/api/1/1/5/4/2/0/542413320e113230d9e205d17bb8bcc1.mp3*~data=user_id=0,application_id=42~hmac=b56652d397665792eeda2c661b25fa40256792c0d13563792289d54d7c2787ac",previews/No Diggity.mp3
spotify:track:4BHzQ9C00ceJxfG16AlNWb,25,spotify:album:0K4pIOOsfJ9lK8OjrZfXzd,Adele,spotify:artist:4dpARuHxo51G3z768sgnrY,223080,20,Send My Love (To Your New Lover),[584466 295176 854617 ... 202267 837244 867665],138545997,"https://cdnt-preview.dzcdn.net/api/1/1/6/f/d/0/6fde73b43e47761d51ecfde89d5b43bc.mp3?hdnea=exp=1740663182~acl=/api/1/1/6/f/d/0/6fde73b43e47761d51ecfde89d5b43bc.mp3*~data=user_id=0,application_id=42~hmac=60eee174ee5b42d1fe4c865acba56241118177c56adfb2fb8ff5d064ce1ba296",previews/Send My Love (To Your New Lover).mp3
spotify:track:0xmtSOofR05Lu0ggb5lZ7X,Daybreaker,spotify:album:5hqGibvfAVIp9plqmnflCg,Moon Taxi,spotify:artist:5DK8eK7fjvRsziXzyr3sFA,210906,21,Red Hot Lights,"[584466 287290 740634 222029 608449 630078 484746 779016 952293 578655
 723369 793264 253513    722  87503 177634 804220 516621 305209 929342
 291509 349007 450082 478785 467752 803224 900059 476745 690311 116125
 753802 972736 650848   7269 329622 956636 621329  27155 674007 884941
 661351 798529 121197 473562 931145 867908 514946 200746 797420 481473
 733843 759949 997504 865856 850890 252649 143851 622447 427847 744544
 400457 704156 999008 224957 397966 510134   6845 882593  32169 456654
 409212 958589 308524 354251 158857 931161 948091 814803 195961 824878
  44367 161392  78910 901196 231947 322635 144780 405737 966787 758394
 384067  98010 484776 820573 277479 525873   7798 780904 155707 770605
 731736 170120 911917 544043 781373 109958 500509 530863 768876 985799
  47408 275929 663094 177927 836405 278841 607554 426620 469145 481901
 949341 904004 637981 219966  97510 807901 118318 494206 845282 973521
 759343 411659 923566 214853 722226  36687 600668 379235  20829 517783
  16126 273467 934152 843082 420810 920983 463287 586654 519927 720106
 978587 372338 216720 181644 873920 580619 479798 648438 741898 798307
 360633 735257 499434 626233 239975 650451 369308 240899 830180 142025
 244275 178246  74146 140758 546221  38136 761364  41286 968409 665594
 102626 947277 621756 302217 944244 132803 137389 958067 265708 422674
 893048  23468 496635 328299 379521 928938 815768 732069 992912 901260
 394875 485686 976577 499737]",145608778,"https://cdnt-preview.dzcdn.net/api/1/1/7/2/3/0/723e437df68d40de4062cada0db71408.mp3?hdnea=exp=1740663183~acl=/api/1/1/7/2/3/0/723e437df68d40de4062cada0db71408.mp3*~data=user_id=0,application_id=42~hmac=1a647e8055088afbb488ba71d5837abae9fd53d7c429b58bdc96d9eea97417a2",previews/Red Hot Lights.mp3
spotify:track:5E5Nm2aqVgMJCJTLoNsHMK,Daybreaker,spotify:album:5hqGibvfAVIp9plqmnflCg,Moon Taxi,spotify:artist:5DK8eK7fjvRsziXzyr3sFA,214680,24,Domino,[584466 130087 831482 516621 901196  98010  97510 144143 976577],145608776,"https://cdnt-preview.dzcdn.net/api/1/1/c/9/8/0/c9804412db29ab37bf806f0f4d326463.mp3?hdnea=exp=1740663185~acl=/api/1/1/c/9/8/0/c9804412db29ab37bf806f0f4d326463.mp3*~data=user_id=0,application_id=42~hmac=7435f9c561133a59657d8dfaf5eac1d6a8728e4f57c8bddaf03019eb69f29cd2",previews/Domino.mp3
spotify:track:0kr6d8wHDQPlzuET33NVn6,The Spirit Room,spotify:album:1agL7TUoZXr0Xd4Irievqi,Michelle Branch,spotify:artist:5rScKX1Sh1U67meeUyTGwk,217680,27,All You Wanted,"[584466 485181 332194 116786 516796  40437 323763 909652 995451 377994
 916149 728810  26674 444801 747034 635252 519669 591391 850206 332805
 196724 520884 782725 236459 802817 736950 736950 892467 888696 473983
 353537 353537 890986  88853 974308 768626 240766 860436 963788 382612
 679293 197716 762745 200706  24488 355634 992361 578437  95620 989882
 964734  31109 247626 445500 936493 698178 984398 912362 263889 107752
 480488 298885 141180 562884 897904 404902 618304 474845 756611  22661
 281059 625586 777703 558503 956324 688286  21919 483413 944854 445263
 232825 993063 356805 731420 427018 832447 459771 578611 895684 189542
 876481 220698 115678 305637 359046 188180 939219 200041 199697 829583
 213621 937983 267342  27120  11586 905941 680588 877112 530710 962699
 370130 350915 987675 981306   2949 572601 876457  63563 826443 276216
  16860 522629 229232 773234 941687 536486 336816 521620 130232 579245
 222759 222759 336972  90368 487371 606760 453077 458870 874548 528873
 247981 381881 423851 286107 759176 639529 930790 856550 325661 936521
 734880 585431 884461 236902 396028 499358 309888 388288 482021 430070
 404907 411137 770389 638168 482211 185328 734524 500320 508197 623693
 903691   1701 179829   7450 233611 327047 949377  66834 785515 802292
 649068 613823 148081 943439 482471 925237 127366 710892 853902 805360
 555258 323778 907080 290896 419932 325490 434479 828207   9080 925135
 678281 516518 697560 848788 411287 292411 595994 518380 648459 904135
 101972 974149 263316 370869 728347 267890 973680 907644 606092 238391
 921259 976707 835907 639970 155803 418192 725286 539427 562175  66509
 131436 474731  92110 574313 957629 708481 663971 951254 547492  82355
 641746 155207  23728 574445 595522 614330 510883 207359 539164 633286
 207167 882401 435489 949378 341937 921512 404769 844347 998753 570348
  65005 245069 865146 445915  24696  23924 735021 243061 161160]",6639084,"https://cdnt-preview.dzcdn.net/api/1/1/e/4/8/0/e4837d7587c465c48bbebc7f65f24983.mp3?hdnea=exp=1740663187~acl=/api/1/1/e/4/8/0/e4837d7587c465c48bbebc7f65f24983.mp3*~data=user_id=0,application_id=42~hmac=907bc75bb4f28a103d6183db061700197e8d946c3ba70fa563fee2a950cf463d",previews/All You Wanted.mp3
