playlist_idx,cluster,tracks_to_predict,random_recommendations,collaborative_filtering_recommendations,content_based_unweigted_recommendations,content_based_weigted_recommendations,hybrid_recommendations
660,1,"['20673' '129869' '31002' '202106' '103098' '229720' '219881' '193787'
 '205833' '130724']","[243056, 251652, 212659, 79674, 101445, 153830, 23968, 67094, 215642, 249275, 2250, 72566, 135242, 158013, 24039, 217547, 224242, 243712, 209163, 43856, 69983, 193920, 171239, 32406, 207432, 54931, 40381, 211950, 123274, 94026, 105985, 76423, 198224, 38626, 124101, 190450, 103555, 71848, 61839, 100548, 60801, 192482, 215351, 49449, 192939, 7419, 13487, 219248, 148439, 201905]","[118317, 168606, 201211, 116049, 191313, 35237, 251689, 198641, 201377, 191177, 99481, 140314, 202106, 249109, 102584, 237495, 103098, 245418, 6666, 156346, 102026, 231840, 30051, 152463, 186479, 73829, 14975, 14281, 235367, 63511, 213713, 225936, 217965, 249785, 180201, 45282, 144813, 110859, 16769, 82561, 39349, 29052, 218728, 203517, 156199, 122336, 105084, 251311, 191316, 63352]","[29052, 251276, 250306, 26659, 208248, 234445, 245084, 121753, 154312, 241891, 180201, 232281, 142387, 3939, 93035, 167186, 242528, 71907, 19278, 219881, 237495, 44263, 63352, 59604, 53497, 149917, 235367, 14364, 119775, 97301, 121437, 37636, 56156, 123704, 97904, 58917, 108429, 235722, 35237, 162254, 96387, 82657, 74887, 193787, 33309, 221079, 33882, 138601, 224295, 20249]","[26659, 123704, 251276, 250306, 93035, 96552, 218275, 234445, 3939, 167186, 29052, 245084, 249785, 219881, 241891, 208248, 154312, 229720, 44263, 104510, 235367, 53989, 59604, 98496, 101816, 63352, 16223, 242528, 237495, 121753, 144800, 37869, 246990, 149917, 74472, 241321, 203643, 19055, 9052, 119775, 12343, 127109, 180201, 35237, 193787, 14364, 226499, 1018, 29246, 147645]","[118317, 168606, 201211, 116049, 35237, 191313, 251689, 198641, 237495, 191177, 201377, 99481, 202106, 140314, 249109, 102026, 103098, 102584, 231840, 156346, 152463, 30051, 235367, 6666, 245418, 14975, 73829, 63511, 225936, 14281, 186479, 213713, 45282, 249785, 217965, 29052, 82561, 144813, 39349, 110859, 156199, 218728, 122336, 19378, 180201, 203517, 191316, 27071, 206931, 48557]"
672,2,"['221270' '174420' '128173' '248305' '29217' '191269' '195268' '247659'
 '230140' '97792']","[158794, 165271, 177154, 158902, 121183, 17338, 42269, 222054, 6240, 14830, 81361, 210898, 223519, 17479, 136036, 227637, 232355, 30878, 24605, 6698, 7010, 97935, 219091, 115913, 178702, 118236, 177733, 184586, 163234, 176675, 245582, 206758, 101499, 225580, 101533, 219750, 54118, 6525, 124805, 156232, 110935, 180539, 77468, 122226, 184122, 177614, 194329, 111811, 216021, 41403]","[14975, 90973, 103098, 72522, 203253, 68163, 122751, 241787, 153789, 8445, 251689, 191177, 193787, 27071, 130094, 191316, 234471, 184725, 143095, 6089, 195884, 40301, 104413, 102443, 189386, 149530, 54653, 99481, 184979, 232281, 204678, 3065, 4153, 126542, 209437, 243245, 124237, 146644, 68922, 75949, 106903, 249186, 121753, 44898, 245084, 192628, 126204, 29920, 16691, 47611]","[237818, 208248, 250306, 156298, 71907, 237495, 93035, 19278, 29052, 36171, 86790, 232281, 149917, 123797, 54119, 145179, 169067, 245084, 248305, 1578, 63230, 190011, 180201, 191269, 230729, 97904, 39491, 126197, 44898, 123133, 26659, 194633, 46586, 73914, 90967, 216470, 219881, 187773, 163621, 50047, 234768, 212343, 54630, 229791, 248921, 24035, 106903, 63352, 82821, 186883]","[237818, 156298, 123797, 237495, 191269, 168451, 31218, 250306, 51129, 71907, 149917, 173630, 54119, 203494, 123133, 245084, 147415, 93385, 37532, 53497, 77655, 184195, 86135, 124237, 46586, 16769, 19278, 248305, 208248, 48249, 1201, 232281, 131429, 14573, 34573, 99318, 29194, 63230, 122425, 115552, 162254, 51702, 29217, 21189, 83741, 199756, 63221, 110708, 113059, 229791]","[14975, 90973, 103098, 72522, 68163, 203253, 241787, 122751, 153789, 251689, 8445, 191177, 27071, 193787, 234471, 143095, 195884, 130094, 6089, 184725, 191316, 189386, 40301, 102443, 104413, 184979, 149530, 54653, 204678, 3065, 232281, 99481, 4153, 126542, 209437, 124237, 68922, 146644, 245084, 243245, 75949, 249186, 121753, 106903, 192628, 44898, 242528, 180201, 96494, 174420]"
675,2,"['163751' '93823' '68843' '113475' '32704' '114205' '65060' '158590'
 '247285' '226513']","[102434, 132007, 112190, 169009, 219214, 55881, 91114, 125428, 131590, 15459, 209953, 243355, 127420, 2694, 70598, 226627, 73945, 37937, 156409, 160816, 218759, 67857, 47381, 30763, 161063, 203692, 155138, 147526, 193347, 61254, 95972, 43381, 119139, 69059, 70357, 239061, 152249, 164261, 232528, 183478, 229510, 43209, 181409, 17751, 24144, 137212, 83264, 186742, 164301, 142760]","[30051, 115697, 24170, 219531, 242528, 45282, 122900, 48708, 16769, 208248, 24902, 72522, 118618, 181596, 249109, 237495, 14975, 216001, 121753, 37668, 195884, 68844, 86963, 17027, 53696, 81573, 103098, 184725, 250666, 234425, 203557, 140167, 237650, 29626, 70714, 193787, 209750, 202106, 29052, 153789, 7627, 179215, 53497, 84826, 104413, 171573, 115454, 155439, 90768, 249785]","[251276, 234445, 208248, 29052, 96211, 26659, 219881, 121437, 142387, 154312, 74472, 167186, 33882, 119508, 218005, 49044, 237495, 232281, 110859, 215392, 247305, 55655, 108429, 203517, 104510, 202592, 200929, 50047, 14364, 103061, 180201, 37636, 171541, 250306, 68844, 162254, 20249, 149917, 39995, 246990, 135470, 121753, 137675, 213223, 221237, 204937, 83954, 153727, 197157, 103098]","[234445, 241321, 251276, 208248, 37869, 96211, 97904, 26659, 203517, 167186, 237495, 232281, 241891, 127109, 19278, 237818, 136469, 218005, 54119, 29052, 245084, 235367, 63221, 3939, 101816, 122245, 154312, 96552, 93035, 37636, 247305, 119508, 191673, 56069, 204937, 64550, 212990, 153727, 197157, 44263, 109660, 104510, 37105, 52495, 100696, 121437, 50047, 11359, 162254, 42473]","[30051, 24170, 115697, 219531, 48708, 45282, 237495, 118618, 103098, 122900, 208248, 216001, 121753, 242528, 249109, 153789, 250306, 53696, 184725, 181596, 14975, 37668, 24902, 249785, 216374, 53497, 86963, 64550, 81573, 72522, 102026, 17027, 250666, 209750, 29052, 29626, 116049, 26659, 140167, 203557, 33309, 237650, 221079, 155439, 16769, 191426, 70714, 6666, 202106, 6765]"
678,1,"['12951' '156918' '198329' '141757' '138848' '48960' '49966' '13006'
 '167597' '183688']","[171152, 54649, 101527, 101254, 162036, 121158, 152911, 114238, 84859, 108246, 136970, 56530, 176901, 143980, 232454, 48899, 228743, 168655, 113578, 108062, 86419, 191279, 6316, 115406, 229617, 21734, 20341, 129731, 198408, 135022, 66150, 161621, 55698, 107681, 176036, 12676, 168097, 165226, 46245, 137595, 302, 23580, 32706, 83334, 171263, 138724, 101706, 57744, 166358, 171840]","[17731, 87405, 182505, 89370, 175382, 106277, 167597, 71481, 7184, 131177, 172576, 243131, 163713, 200455, 97636, 12818, 200727, 74901, 113948, 249333, 118679, 204596, 115640, 195554, 203882, 219167, 39251, 246857, 123422, 53478, 62292, 30450, 68055, 2249, 229890, 91335, 206236, 217729, 77255, 78898, 10492, 99771, 71825, 186, 24205, 38125, 31020, 151026, 121097, 58917]","[141508, 73019, 130522, 34959, 199661, 33903, 29052, 180201, 33309, 217056, 209893, 173572, 84876, 154312, 142801, 62344, 96667, 86987, 13597, 128945, 195516, 16134, 148397, 224238, 57687, 197789, 174974, 93035, 176346, 32809, 22192, 105078, 155897, 184048, 26048, 132502, 152720, 203882, 91016, 234739, 196250, 162552, 90338, 56810, 115640, 55235, 174957, 29255, 159762, 243131]","[96552, 93035, 1201, 162254, 247320, 235367, 26659, 138983, 250306, 58917, 235722, 84309, 16769, 95724, 9570, 209230, 84072, 57902, 123704, 7225, 13597, 84255, 203882, 6447, 117402, 136850, 155221, 111863, 118250, 103098, 159762, 219379, 218275, 221079, 89370, 45912, 143123, 87172, 77255, 26048, 68950, 146486, 189020, 92245, 65456, 57687, 91016, 222200, 42147, 16964]","[17731, 182505, 87405, 89370, 175382, 7184, 106277, 71481, 167597, 172576, 131177, 97636, 163713, 243131, 12818, 200455, 249333, 200727, 74901, 204596, 113948, 118679, 39251, 195554, 203882, 115640, 219167, 62292, 30450, 123422, 246857, 99771, 217729, 53478, 68055, 77255, 71825, 229890, 206236, 91335, 2249, 31020, 10492, 38125, 186, 43248, 78898, 24205, 151026, 98068]"
699,1,"['194464' '119641' '65015' '77678' '118522' '142318' '92032' '106154'
 '161836' '12013']","[216288, 97144, 171129, 182009, 167910, 16101, 231996, 36073, 42090, 142796, 179599, 187689, 200757, 4948, 236650, 226884, 167378, 239358, 92452, 214019, 111129, 237190, 57813, 68091, 183157, 186267, 170538, 81803, 84334, 139045, 82499, 97592, 181734, 250518, 65306, 112898, 185277, 3684, 173066, 203757, 132963, 229460, 109253, 229237, 32168, 26462, 2793, 190763, 29893, 192246]","[63263, 149636, 13475, 233897, 121753, 195884, 68141, 234425, 207513, 48207, 73955, 118618, 2125, 35237, 193787, 116049, 180819, 141809, 242528, 184637, 190008, 9092, 251849, 103098, 191177, 76162, 27407, 192515, 170436, 137396, 33882, 219965, 101103, 96114, 234768, 28492, 211123, 205054, 154711, 217395, 225936, 184725, 72522, 84309, 39084, 151785, 135193, 86790, 216374, 32876]","[208248, 251276, 250306, 245084, 59604, 97301, 56156, 154312, 219881, 193787, 97904, 219637, 96211, 180201, 14364, 142387, 149636, 74000, 64166, 24004, 122245, 140411, 26659, 223858, 232281, 224295, 195028, 94978, 234445, 82657, 103403, 73908, 81362, 69460, 178857, 83712, 149917, 183863, 241891, 36299, 29246, 71907, 108855, 63352, 111552, 237495, 216381, 121753, 74472, 174796]","[208248, 250306, 234445, 96552, 241321, 10113, 129429, 122708, 203643, 9052, 53989, 26659, 97301, 245084, 96211, 35237, 229720, 237818, 82657, 169201, 218275, 232281, 223858, 237495, 56156, 102192, 127007, 245992, 157771, 195511, 193787, 164095, 22850, 219734, 80475, 245656, 27462, 14364, 17758, 109660, 250382, 83741, 164178, 140411, 83712, 54119, 144800, 12343, 162086, 180419]","[63263, 149636, 13475, 233897, 121753, 195884, 68141, 118618, 35237, 2125, 234425, 207513, 73955, 48207, 9092, 116049, 193787, 242528, 190008, 141809, 184637, 27407, 101103, 251849, 103098, 192515, 33882, 76162, 180819, 96114, 219965, 211123, 191177, 28492, 170436, 137396, 234768, 32876, 229720, 180201, 135193, 202244, 217395, 61815, 154711, 135627, 151785, 225936, 39084, 209750]"
705,3,"['123943' '1443' '252085' '13779' '86366' '203818' '89670' '100154'
 '246221' '205529']","[173656, 122843, 204355, 37366, 233208, 186290, 231854, 235931, 79911, 225521, 161464, 173235, 238792, 53428, 144354, 235340, 217036, 80867, 227605, 72150, 160221, 47545, 146228, 199347, 99143, 189155, 242884, 151084, 308, 31532, 107044, 150379, 85900, 125864, 165732, 94702, 249986, 21825, 185065, 70470, 157649, 79960, 189146, 224602, 86346, 55246, 206736, 72533, 104331, 53158]","[212881, 115704, 61398, 232829, 35659, 202567, 172218, 50040, 85574, 219637, 56073, 131992, 243676, 251617, 181016, 109155, 113242, 14306, 123985, 220747, 235251, 113137, 232953, 250210, 77604, 34319, 164042, 188065, 249070, 180091, 184018, 219293, 64204, 56457, 174467, 35486, 14025, 6200, 111610, 224422, 102680, 47219, 160935, 55826, 229551, 227576, 213691, 121523, 140867, 237978]","[111552, 71406, 129717, 123969, 37624, 173990, 223063, 183863, 188777, 82657, 95359, 80909, 27475, 213430, 20282, 73908, 10309, 245136, 137597, 11113, 160307, 22830, 180135, 169172, 163692, 124287, 151294, 129222, 114906, 199394, 133328, 18621, 183651, 24373, 98473, 177164, 143689, 133531, 24891, 182753, 51532, 116727, 160771, 52426, 217420, 2109, 77312, 216376, 213636, 247835]","[10113, 111914, 42135, 94330, 239371, 11839, 135296, 150180, 100372, 22830, 133507, 211463, 129186, 77444, 160542, 2266, 52276, 243768, 195055, 38205, 185428, 23803, 55178, 189502, 244769, 180846, 110290, 55818, 73908, 184159, 210811, 12048, 113816, 225820, 150372, 244303, 241699, 12137, 166488, 5178, 185907, 167730, 24116, 57167, 230897, 54207, 229190, 151297, 35634, 124293]","[212881, 115704, 61398, 232829, 202567, 35659, 172218, 56073, 50040, 85574, 219637, 131992, 243676, 181016, 109155, 14306, 220747, 235251, 232953, 250210, 251617, 113242, 123985, 188065, 249070, 34319, 113137, 6200, 164042, 77604, 180091, 174467, 64204, 184018, 56457, 35486, 14025, 224422, 102680, 160935, 47219, 62935, 55826, 229551, 174698, 188310, 237978, 31550, 121523, 219293]"
709,1,"['231977' '228843' '249649' '119071' '173091' '117143' '79435' '50258'
 '50047' '50662']","[89277, 223330, 177311, 207737, 18317, 232297, 43555, 118700, 186686, 244663, 44783, 159280, 187855, 41379, 27890, 9455, 184706, 119473, 79061, 141775, 205931, 134809, 197161, 53591, 80439, 163330, 144296, 50699, 142009, 165335, 199589, 166582, 86453, 196783, 165809, 203957, 249544, 52605, 206954, 10433, 86215, 70807, 108477, 196734, 43797, 68309, 50730, 19546, 196943, 47227]","[86790, 116049, 53497, 221079, 103098, 54047, 143123, 58505, 237415, 195884, 219734, 14975, 50047, 191177, 65433, 35237, 140314, 166690, 184725, 190816, 68163, 99481, 218755, 7627, 216252, 30051, 86135, 180201, 249109, 131216, 122900, 251689, 72522, 45282, 131429, 230184, 8445, 169595, 104413, 135193, 155439, 70529, 204273, 232281, 2803, 203856, 63084, 56352, 241787, 82682]","[208248, 250306, 237495, 194633, 71907, 219881, 245084, 149917, 180201, 97904, 26659, 237818, 195028, 235367, 19278, 36171, 156298, 29052, 93035, 232281, 53497, 58917, 106903, 163621, 33309, 123133, 190011, 248921, 147511, 162254, 191269, 142807, 251276, 39491, 138601, 86790, 196377, 54119, 130724, 56156, 35237, 14364, 169067, 25824, 204990, 50047, 21189, 82821, 110221, 230729]","[250306, 16769, 208248, 149917, 237495, 235367, 143123, 96552, 26659, 31218, 147415, 232281, 249785, 237818, 162254, 53497, 191269, 97904, 184195, 86790, 71128, 203643, 234445, 63221, 180201, 210778, 245084, 169201, 194633, 203253, 177254, 82657, 112272, 35237, 229720, 142482, 137291, 203549, 187343, 25286, 246233, 13597, 50047, 113059, 150507, 219500, 218965, 223858, 87928, 223832]","[86790, 53497, 116049, 221079, 103098, 54047, 58505, 195884, 143123, 237415, 14975, 50047, 65433, 99481, 219734, 191177, 7627, 216252, 190816, 184725, 140314, 35237, 218755, 166690, 86135, 72522, 104413, 122900, 68163, 180201, 249109, 30051, 45282, 131429, 204273, 203856, 37668, 131216, 135193, 70529, 8445, 75949, 230184, 232281, 155439, 169595, 129996, 229720, 251689, 63084]"
710,1,"['147773' '63522' '131429' '109817' '134590' '243377' '204678' '36032'
 '122751' '63876']","[49215, 214249, 203530, 67744, 26050, 91889, 17082, 206847, 149207, 202445, 144532, 134198, 194573, 36236, 56536, 197401, 33478, 58702, 56762, 155923, 167801, 47840, 225415, 222251, 189687, 39985, 14759, 35207, 59390, 94459, 218578, 13163, 200548, 20939, 90728, 248902, 110426, 86760, 126012, 197351, 28804, 189036, 178670, 155865, 123761, 164282, 167583, 36709, 168108, 26256]","[216374, 203557, 116049, 140314, 54047, 216252, 50047, 210354, 70529, 166690, 8445, 72522, 203253, 218755, 131429, 86135, 151584, 27071, 30051, 62064, 7627, 251689, 184725, 191177, 129996, 90973, 68163, 49453, 82682, 195884, 158927, 143095, 234471, 65143, 191316, 139096, 60803, 122751, 104413, 87793, 45282, 131216, 16252, 234425, 216240, 99481, 204678, 209437, 159681, 149530]","[237818, 208248, 93035, 156298, 29052, 250306, 237495, 19278, 26659, 86790, 1578, 232281, 71907, 245084, 221079, 149917, 145179, 33309, 180201, 123797, 36171, 230729, 194633, 63230, 123704, 219881, 63352, 97904, 190011, 126197, 82821, 123133, 191269, 64550, 212343, 53497, 235367, 203253, 241891, 21189, 169067, 138601, 134172, 90967, 47250, 187773, 244454, 54119, 50662, 111321]","[250306, 156298, 26659, 237495, 123797, 237818, 191269, 149917, 51129, 221079, 168451, 232281, 31218, 53497, 123133, 86790, 63230, 86135, 99318, 208248, 120212, 93035, 83741, 37532, 203494, 54119, 71907, 203253, 124237, 169201, 207754, 211000, 115552, 29217, 217890, 131429, 77655, 51702, 16769, 184195, 34573, 117483, 9705, 190011, 248305, 48249, 219500, 245084, 235367, 122425]","[216374, 203557, 116049, 140314, 54047, 50047, 216252, 210354, 70529, 166690, 72522, 131429, 203253, 8445, 218755, 27071, 151584, 86135, 184725, 7627, 30051, 62064, 129996, 90973, 195884, 68163, 234471, 191177, 82682, 251689, 158927, 143095, 49453, 104413, 99481, 65143, 139096, 122751, 234425, 60803, 159681, 131216, 87793, 204678, 16252, 193787, 209437, 191316, 75949, 149530]"
711,2,"['97792' '54047' '68163' '143059' '242528' '203253' '16252' '83293'
 '166690' '43648']","[65630, 140622, 76501, 411, 65278, 34814, 208190, 59985, 151009, 14897, 20923, 189045, 130900, 52026, 164363, 78086, 219197, 123736, 97323, 43260, 83128, 189287, 102159, 11893, 206071, 70105, 30694, 203550, 9830, 10695, 28695, 184253, 16493, 122305, 17615, 41197, 18594, 98245, 148687, 7670, 181016, 216528, 91712, 58388, 239828, 74398, 203891, 165840, 213579, 8494]","[221079, 54047, 50047, 184725, 103098, 84826, 58505, 27071, 63084, 191316, 241787, 99481, 203253, 8445, 166690, 230184, 218755, 195884, 90973, 210354, 190816, 47611, 129996, 7627, 193787, 68163, 159681, 77655, 49453, 122751, 99868, 131216, 180201, 87793, 204678, 143095, 6089, 60803, 82682, 16252, 134758, 130724, 236977, 149530, 242528, 40301, 65143, 90768, 74662, 32765]","[250306, 208248, 156298, 237818, 237495, 36171, 29052, 71907, 26659, 93035, 86790, 194633, 149917, 232281, 33309, 19278, 245084, 219881, 97904, 54119, 63230, 191269, 190011, 230729, 163621, 123797, 39491, 123133, 248305, 169067, 126197, 187773, 180201, 221079, 53497, 145179, 232001, 235367, 134172, 212343, 61364, 203253, 82821, 203494, 106903, 1578, 248921, 110221, 142807, 58917]","[237495, 237818, 191269, 123797, 149917, 31218, 232281, 250306, 156298, 168451, 53497, 169201, 86135, 71907, 26659, 16769, 51129, 147415, 46586, 203253, 208248, 113059, 221079, 184195, 37532, 54119, 34573, 124237, 248305, 83741, 164095, 162254, 93035, 63221, 110708, 203494, 207754, 131429, 99318, 123133, 86790, 173630, 120212, 122353, 219500, 229720, 29194, 48249, 77655, 65052]","[221079, 54047, 184725, 50047, 103098, 58505, 63084, 27071, 84826, 191316, 166690, 241787, 203253, 99481, 8445, 190816, 195884, 218755, 230184, 90973, 47611, 7627, 68163, 129996, 210354, 159681, 193787, 99868, 122751, 77655, 87793, 49453, 60803, 143095, 82682, 6089, 131216, 180201, 204678, 16252, 130724, 134758, 149530, 32765, 236977, 74662, 65143, 40301, 242528, 250666]"
713,3,"['108898' '223105' '176995' '146404' '11056' '99608' '193994' '30282'
 '173403' '52475']","[241515, 174793, 156760, 144777, 233633, 224783, 116521, 184702, 91456, 75707, 160783, 66052, 142605, 18913, 27096, 76359, 84500, 146607, 124187, 220512, 190432, 203301, 178493, 2701, 113734, 62317, 90730, 226977, 184255, 61461, 45036, 52046, 181449, 152885, 107581, 62016, 156364, 118260, 59880, 179035, 67905, 208820, 225408, 77775, 53941, 11586, 191325, 82219, 144728, 213672]","[25990, 96567, 65642, 113608, 239898, 150349, 193887, 12583, 45217, 36933, 2149, 42814, 86135, 96476, 164776, 16683, 12274, 127525, 916, 132143, 151281, 45825, 201066, 39830, 163050, 231551, 219734, 76833, 99298, 124497, 134388, 45945, 148389, 172058, 10737, 214209, 209171, 57383, 170291, 96186, 105061, 64550, 132398, 84432, 125751, 112869, 5790, 154961, 3142, 234281]","[117402, 193320, 28819, 84808, 187873, 210809, 196784, 159098, 102468, 107331, 64918, 223586, 20205, 176295, 107208, 48091, 137692, 195556, 123639, 176401, 221672, 96465, 23085, 5256, 121076, 174855, 23543, 145133, 177736, 225836, 84040, 215273, 196037, 57031, 234022, 37805, 137745, 141508, 108300, 86737, 192049, 26644, 72260, 138449, 24822, 57324, 233721, 80171, 239916, 180950]","[7897, 49643, 118771, 48091, 130276, 184997, 204630, 28819, 155540, 168698, 3884, 31015, 139246, 37900, 225209, 4559, 9272, 48085, 201685, 249607, 156152, 56022, 55496, 187440, 91305, 177544, 45073, 147599, 203901, 129186, 184497, 191194, 202694, 198420, 200622, 204993, 249937, 140462, 224386, 230993, 81565, 137639, 117402, 213519, 191513, 194859, 17463, 56261, 112283, 12685]","[65642, 25990, 113608, 193887, 150349, 239898, 45217, 42814, 96567, 2149, 164776, 16683, 36933, 132143, 93035, 207513, 214209, 916, 12583, 96476, 201066, 99298, 143123, 105061, 181596, 231551, 112869, 234281, 148389, 39830, 151281, 237493, 45945, 170291, 84432, 163050, 10737, 209171, 172058, 76833, 21462, 98787, 237958, 224099, 247207, 40573, 75768, 56662, 12274, 170027]"
720,1,"['102705' '184445' '53356' '82552' '49453' '179399' '187550' '54774'
 '68163' '22311']","[134756, 132347, 37627, 41400, 109933, 208293, 184645, 31724, 219539, 88925, 140016, 110522, 95302, 224246, 186939, 161724, 179477, 189512, 147292, 63416, 184519, 233322, 85698, 242496, 168290, 108951, 235513, 132212, 172256, 180930, 204979, 109715, 165308, 113537, 66567, 12007, 25818, 112732, 85254, 112164, 195976, 40640, 132541, 146690, 57533, 251749, 204643, 212484, 193505, 155615]","[235367, 64550, 216374, 86790, 221079, 16769, 14975, 72522, 99481, 153789, 54047, 140314, 45282, 53497, 191177, 237415, 216240, 242528, 84826, 218755, 104413, 143123, 207513, 219734, 195884, 68163, 68844, 191316, 5894, 216252, 193787, 8445, 35237, 90973, 234425, 40301, 180201, 129996, 155439, 190816, 70529, 27071, 68922, 19825, 250666, 124237, 130094, 230184, 210354, 130724]","[250306, 93035, 156298, 29052, 237818, 208248, 237495, 219881, 245084, 232281, 19278, 71907, 36171, 97904, 86790, 149917, 26659, 123704, 221079, 33309, 61364, 194633, 53497, 235367, 230729, 63230, 180201, 1578, 190011, 58917, 126197, 145179, 82821, 191269, 212343, 63352, 235722, 21189, 169067, 138601, 123797, 163621, 84111, 134172, 203253, 56416, 158927, 230184, 241891, 187773]","[26659, 250306, 237495, 237818, 93035, 168451, 123797, 232281, 221079, 53497, 191269, 31218, 149917, 156298, 16769, 86790, 162254, 71907, 203253, 96552, 210778, 46586, 164095, 208248, 86135, 50047, 49453, 37532, 97904, 54119, 147415, 245084, 19278, 203494, 83741, 48249, 64550, 235367, 36171, 141420, 248305, 110708, 207754, 99318, 184195, 124237, 51129, 13597, 51702, 117593]","[235367, 64550, 216374, 86790, 14975, 221079, 16769, 72522, 53497, 45282, 153789, 140314, 99481, 54047, 191177, 104413, 207513, 237415, 216240, 143123, 84826, 218755, 68844, 219734, 68163, 242528, 5894, 8445, 234425, 216252, 191316, 35237, 195884, 124237, 90973, 40301, 193787, 155439, 190816, 70529, 27071, 166690, 210354, 129996, 130094, 64021, 180201, 250666, 68922, 82682]"
722,1,"['223719' '245084' '177254' '75935' '33867' '133299' '231766' '63352'
 '142102' '206765']","[144582, 212572, 228624, 249844, 17144, 159680, 38521, 221294, 171861, 145126, 107449, 101426, 181852, 250521, 110044, 177737, 35507, 179346, 115709, 29776, 76496, 108932, 94125, 22860, 55729, 91209, 49943, 42154, 203727, 245519, 115469, 170987, 204299, 5214, 172077, 2623, 109622, 9457, 41814, 138434, 235031, 162465, 14567, 82255, 243250, 164299, 50080, 72234, 188563, 154293]","[35237, 249785, 249109, 207513, 181640, 121753, 103098, 250306, 67273, 116049, 216540, 206765, 203253, 245084, 97864, 149636, 181596, 242528, 86790, 235367, 3065, 191177, 35332, 209437, 11830, 169595, 163048, 64550, 233897, 130724, 44387, 45282, 252213, 118618, 128223, 68844, 241312, 115454, 98873, 110859, 39687, 102192, 83674, 6765, 26659, 52357, 124237, 142102, 45495, 135193]","[154312, 3939, 26659, 208248, 250306, 251276, 59604, 14364, 245084, 129186, 234445, 219881, 96211, 180201, 235367, 241891, 121753, 82657, 232281, 237495, 74472, 218275, 149917, 63352, 123704, 223154, 240182, 33882, 122245, 204247, 224295, 223858, 193787, 56156, 188391, 64166, 37636, 93035, 142387, 29052, 83954, 86497, 138983, 58917, 97301, 74000, 219637, 149636, 104510, 165876]","[208248, 96552, 104302, 234445, 129186, 53989, 245084, 147415, 203643, 243869, 191313, 22850, 137291, 48351, 70529, 250382, 82657, 15671, 142482, 191471, 29246, 56156, 140411, 63221, 17758, 14364, 129429, 138601, 152337, 226499, 83712, 9052, 217598, 169201, 97904, 229720, 250306, 35237, 181430, 140857, 34419, 235367, 66334, 14182, 251276, 31030, 223858, 245656, 115283, 249785]","[35237, 207513, 249109, 181640, 249785, 121753, 250306, 67273, 103098, 191177, 116049, 206765, 216540, 245084, 97864, 3065, 181596, 203253, 242528, 64550, 45282, 11830, 35332, 86790, 163048, 252213, 149636, 169595, 110859, 235367, 98873, 104413, 209437, 118618, 44387, 237495, 102192, 39687, 130724, 128223, 241312, 135193, 45495, 193787, 83674, 68844, 52357, 26659, 92846, 142102]"
724,3,"['212184' '232861' '188476' '208350' '68533' '89210' '33672' '35049'
 '98728' '18503']","[171568, 160319, 58199, 190489, 100182, 228312, 75086, 70285, 25898, 214933, 41453, 132, 169587, 31882, 203716, 133674, 66641, 200287, 23333, 233735, 175528, 200056, 121513, 55202, 84323, 6080, 156393, 165154, 167066, 108265, 51955, 17420, 24369, 101727, 204954, 172213, 15989, 13138, 248092, 150047, 223009, 213092, 78013, 130962, 86067, 39474, 131660, 233397, 74521, 139193]","[94251, 121753, 208248, 122853, 181349, 61398, 219637, 187591, 35659, 50040, 172218, 232829, 157887, 224428, 251849, 202567, 85574, 251617, 130606, 162121, 128223, 218307, 250210, 116522, 8706, 188391, 73807, 56073, 220747, 125282, 221104, 243676, 30287, 113137, 48713, 237293, 131992, 181839, 232953, 120481, 188310, 241312, 178754, 53989, 123705, 176362, 113242, 232710, 206765, 134143]","[129186, 208248, 234445, 72973, 111552, 71406, 14364, 163621, 223858, 237495, 249785, 219881, 213430, 149297, 86497, 74000, 56125, 69460, 92765, 221583, 193787, 232281, 198446, 149636, 188391, 82090, 2097, 153727, 223063, 59274, 174658, 73908, 34032, 188777, 129429, 82657, 69416, 246657, 87566, 211113, 29920, 110961, 97792, 223154, 137597, 10309, 35237, 224319, 240182, 160930]","[10113, 234445, 9052, 129186, 250382, 223858, 96552, 118771, 14364, 35237, 218275, 16023, 240182, 208248, 127007, 166390, 129429, 59604, 218657, 55591, 3939, 103455, 241321, 168683, 219734, 73908, 147415, 83712, 198182, 232281, 249785, 113516, 7897, 245992, 94330, 203643, 53989, 129508, 221611, 83954, 173433, 181421, 242602, 169201, 229, 136755, 129042, 38117, 16197, 180201]","[94251, 208248, 181349, 122853, 121753, 61398, 187591, 35237, 172218, 35659, 219637, 232829, 50040, 157887, 218307, 202567, 130606, 128223, 85574, 224428, 162121, 188391, 250210, 30287, 8706, 48713, 56073, 125282, 220747, 73807, 181839, 251849, 53989, 116522, 120481, 178754, 243676, 232953, 131992, 251617, 123705, 184785, 232710, 176362, 224295, 241312, 188310, 233897, 134143, 72679]"
